artist,song,lyrics,bert_nega,bert_posi,bert_score,nltk_neg,nltk_neu,nltk_pos,nltk_score
Miley Cyrus,Flowers,"We were good, we were gold Kind of dream that can't be sold We were right 'til we weren't Built a home and watched it burn  Mm, I didn't wanna leave you, I didn't wanna lie Started to cry, but then remembered I  I can buy myself flowers Write my name in the sand Talk to myself for hours Say things you don't understand I can take myself dancing And I can hold my own hand Yeah, I can love me better than you can  Can love me better, I can love me better, baby Can love me better, I can love me better, baby  ",13,9,-0.14474039457061075,0,15,7,0.23812727272727277
SZA,Kill Bill,"I'm still a fan even though I was salty Hate to see you with some other broad, know you happy Hate to see you happy if I'm not the one driving  I'm so mature, I'm so mature I'm so mature, I got me a therapist to tell me there's other men I don't want none, I just want you If I can't have you, no one should I might  I might kill my ex, not the best idea His new girlfriend's next, how'd I get here? I might kill my ex, I still love him though Rather be in jail than alone  I get the sense that it's a lost cause I get the sense that you might really love her ",15,7,-0.20704774964939465,2,16,4,0.0542090909090909
"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),"Oooh Just can't believe this man (Metro Boomin want some more nigga)  Somebody said they saw you The person you were kissing wasn't me And I would never ask you, I just kept it to myself  I don't wanna know, if you're playing me Keep it on the low Cause my heart can't take it anymore And if you creeping, please don't let it show Oh baby, I don't wanna know  I think about it when I hold you When looking in your eyes, I can't believe And I don't need to know the truth But baby keep it to yourself  I don't wanna know, if you're playing me Keep it on the low ",17,7,-0.23923915872971216,0,24,0,0.047654166666666664
"Metro Boomin, Future, Chris Brown",Superhero (Heroes & Villains) [with Future & Chris Brown],"(Metro, metro, metro, metro) Drankin' dope turned me to a superhero, yeah, yeah Hit that pill, turned me to a superhero, yeah, yeah Boominati turned me to a superhero, yeah, yeah (Metro) (If Young Metro don't trust you, I'm gon' shoot you)  I'm on that dope again, I'm in that flow again Switch up the flow again, yeah, yeah Flyer than a parachute, gripping that pole again I'm on that oil again, yeah, yeah  Candy in the cup, gotta get paid King in the streets, young nigga made Sprayin' up the crowd, take it to the grave Ain't havin' problems, I'm sippin' the bar Shoutout to Dallas, my bitch is a star Nigga get rich, ready take you to war Piss on your casket, shoot at your broad  Do you something nasty, roll you in a 'gar Bitch get graphic, fuck me in a car I get you a brand new Rollie tomorrow I put that brand new Rollie on your arm Ain't movin' slow but I'm still on oil Tennis bracelets and they came with the frost Cuban links all the way up to your jaw ",28,5,-0.42736546017906885,1,30,2,-0.013978787878787887
"Drake, 21 Savage",Rich Flex,"Go buy a zip of weed, hit the club Pay for 'bout ten nigga to get in, we crunk, lit in this bitch, yeah  (Body up, yuh, yuh) Know we walk around the world (Body up, yuh, yuh) Steppin' not givin' a damn 'bout where our feet land at  Yeah, get your ass mushed, smooshed (6ix) Yeah, 21, the biggest  Put a nigga in the chicken wing, pussy  21, can you do some' for me? (21) Can you hit a lil' rich flex for me? (21) And 21, can you do sum' for me? (21, 21) Drop some bars to my pussy ex to me And 21 (21), can you do some' for me? (Yeah) Can you talk to the opps necks for me? (Okay) 21, do your thing, 21, do your thing (21) Do your thing, 21, do your thing  Yellow diamonds in the watch, this shit cost a lot Never send a bitch your dot, that's how you get shot I DM in Vanish Mode, I do that shit a lot Took her panties off and this bitch thicker than a plot  All my exes ain't nothin', them hoes busted If my opps ain't rappin', they ass duckin' ",18,10,-0.19059301912784576,1,25,2,-0.03460714285714285
Lil Uzi Vert,Just Wanna Rock,"Ah, ah, ah, ah I just wanna rock Body-ody, yeah (shake it down)  Damn Damn  (MC, make another hit) whoa! This ain't what you want (Project, Project X) This ain't what you want This ain't what you want  Ha! 1600 block, I just wanna rock (shake it down) I just wanna, ah, ah, ah, ah, ah, ah, ah I just wanna rock, body-ody, yeah (shake it down) Shawty got that body-ody, ah, ah, ah (shake it down) ",16,2,-0.4385040005048116,3,14,1,-0.032427777777777785
"Bizarrap, Shakira","Shakira: Bzrp Music Sessions, Vol. 53","Pa tipos como tú-ú-ú-ú-ú Oh-oh (oh-oh) Pa tipos como tú-ú-ú-ú-ú  Perdón, ya cogí otro avión Aquí no vuelvo, no quiero otra decepción Tanto que te la' das de campeón Y, cuando te necesitaba, diste tu peor versión  Sorry, baby, hace rato Que yo debí botar ese gato Una loba como yo no está pa novatos Una loba como yo no está  Pa tipos como tú-ú-ú-ú-ú Pa tipos como tú-ú-ú-ú-ú A ti te quedé grande, por eso estás Con una igualita que tú-ú-ú-ú-ú Oh-oh, oh-oh  Esto es pa que te mortifique', mastique', trague', trague', mastique' Yo contigo ya no regreso, ni que me llore', ni me supliques Entendí que no es culpa mía que te critiquen Yo solo hago música, perdón que te sal-pique  Me dejaste de vecina a la suegra ",15,6,-0.30185074181783766,0,21,0,-0.07104285714285714
The Weeknd,Die For You,"I'm findin' ways to articulate the feeling I'm goin' through I just can't say I don't love you 'Cause I love you, yeah It's hard for me to communicate the thoughts that I hold But tonight, I'm gon' let you know Let me tell the truth Baby, let me tell the truth, yeah  You know what I'm thinkin', see it in your eyes You hate that you want me, hate it when you cry You're scared to be lonely, especially in the night I'm scared that I'll miss you, happens every time I don't want this feelin', I can't afford love I try to find a reason to pull us apart It ain't workin' 'cause you're perfect And I know that you're worth it I can't walk away, (oh)  Even though we're going through it And it makes you feel alone Just know that I would die for you Baby, I would die for you, yeah ",23,8,-0.28541103870637957,6,24,1,-0.06616129032258064
Taylor Swift,Anti-Hero,"I have this thing where I get older, but just never wiser Midnights become my afternoons When my depression works the graveyard shift All of the people I've ghosted stand there in the room  I should not be left to my own devices They come with prices and vices I end up in crises Tale as old as time I wake up screaming from dreaming One day I'll watch as you're leaving 'Cause you got tired of my scheming For the last time  It's me Hi! I'm the problem, it's me At teatime Everybody agrees I'll stare directly at the sun, but never in the mirror It must be exhausting always rooting for the anti-hero  Sometimes I feel like everybody is a sexy baby ",14,10,-0.0999224583307902,1,21,2,-0.07117499999999999
Miguel,Sure Thing,"Love you like a brother Treat you like a friend Respect you like a lover Oh-woah, oh-woah, oh-woah  You could bet that, never gotta sweat that You could bet that, never gotta sweat that You could bet that, never gotta sweat that You could bet that, never gotta sweat that  If you be the cash, I'll be the rubber band You be the match, I will be a fuse, boom Painter, baby, you could be the muse I'm the reporter, baby, you could be the news 'Cause you're the cigarette and I'm the smoker We raise the bet 'cause you're a joker Checked off, you are the chalk And I could be the blackboard You can be the talk and I can be the walk  Even when the sky comes falling Even when the sun don't shine I got faith in you and I So put your pretty little hand in mine Even when we're down to the wire, babe Even when it's do or die ",17,12,-0.09991305860979803,0,24,5,0.10293793103448276
