artist,song,lyrics
"PinkPantheress, Ice Spice",Boy's a liar Pt. 2,"Take a look inside your heart, is there any room for me? I won't have to hold my breath 'til you get down on one knee Because you only want to hold me when I'm looking good enough Did you ever feel me? Would you ever picture us? Every time I pull my hair, well, it's only out of fear That you'll find me ugly and one day you'll disappear because  What's the point of crying? It was never even love Did you ever want me? Was I ever good enough?  The-the boy's a liar, the boy's a liar He doesn't see ya, you're not looking at me, boy The boy's a liar, the boy's a liar He doesn't see ya, you're not looking at me, boy  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
SZA,Kill Bill,"I'm still a fan even though I was salty Hate to see you with some other broad, know you happy Hate to see you happy if I'm not the one driving  I'm so mature, I'm so mature I'm so mature, I got me a therapist to tell me there's other men I don't want none, I just want you If I can't have you, no one should I might  I might kill my ex, not the best idea His new girlfriend's next, how'd I get here? I might kill my ex, I still love him though Rather be in jail than alone  I get the sense that it's a lost cause I get the sense that you might really love her ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Morgan Wallen,Last Night,"Last night we let the liquor talk I can't remember everything we said but we said it all You told me that you wish I was somebody you never met But baby, baby somethings tellin' me this ain't over yet No way it was our last night  I kiss your lips Make you grip the sheets with your fingertips Last bottle of Jack we split a fifth Just talk about life goin' sip for sip You, you know you love to fight And I say shit I don't mean But I'm still gon' wake up wantin' you and me  I know that last night we let the liquor talk ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Miley Cyrus,Flowers,"We were good, we were gold Kind of dream that can't be sold We were right 'til we weren't Built a home and watched it burn  Mm, I didn't wanna leave you, I didn't wanna lie Started to cry, but then remembered I  I can buy myself flowers Write my name in the sand Talk to myself for hours Say things you don't understand I can take myself dancing And I can hold my own hand Yeah, I can love me better than you can  Can love me better, I can love me better, baby Can love me better, I can love me better, baby  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Lil Uzi Vert,Just Wanna Rock,"Ah, ah, ah, ah I just wanna rock Body-ody, yeah (shake it down)  Damn Damn  (MC, make another hit) whoa! This ain't what you want (Project, Project X) This ain't what you want This ain't what you want  Ha! 1600 block, I just wanna rock (shake it down) I just wanna, ah, ah, ah, ah, ah, ah, ah I just wanna rock, body-ody, yeah (shake it down) Shawty got that body-ody, ah, ah, ah (shake it down) ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),"Oooh Just can't believe this man (Metro Boomin want some more nigga)  Somebody said they saw you The person you were kissing wasn't me And I would never ask you, I just kept it to myself  I don't wanna know, if you're playing me Keep it on the low Cause my heart can't take it anymore And if you creeping, please don't let it show Oh baby, I don't wanna know  I think about it when I hold you When looking in your eyes, I can't believe And I don't need to know the truth But baby keep it to yourself  I don't wanna know, if you're playing me Keep it on the low ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Metro Boomin, Future, Chris Brown",Superhero (Heroes & Villains) [with Future & Chris Brown],"(Metro, metro, metro, metro) Drankin' dope turned me to a superhero, yeah, yeah Hit that pill, turned me to a superhero, yeah, yeah Boominati turned me to a superhero, yeah, yeah (Metro) (If Young Metro don't trust you, I'm gon' shoot you)  I'm on that dope again, I'm in that flow again Switch up the flow again, yeah, yeah Flyer than a parachute, gripping that pole again I'm on that oil again, yeah, yeah  Candy in the cup, gotta get paid King in the streets, young nigga made Sprayin' up the crowd, take it to the grave Ain't havin' problems, I'm sippin' the bar Shoutout to Dallas, my bitch is a star Nigga get rich, ready take you to war Piss on your casket, shoot at your broad  Do you something nasty, roll you in a 'gar Bitch get graphic, fuck me in a car I get you a brand new Rollie tomorrow I put that brand new Rollie on your arm Ain't movin' slow but I'm still on oil Tennis bracelets and they came with the frost Cuban links all the way up to your jaw ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Drake, 21 Savage",Rich Flex,"Go buy a zip of weed, hit the club Pay for 'bout ten nigga to get in, we crunk, lit in this bitch, yeah  (Body up, yuh, yuh) Know we walk around the world (Body up, yuh, yuh) Steppin' not givin' a damn 'bout where our feet land at  Yeah, get your ass mushed, smooshed (6ix) Yeah, 21, the biggest  Put a nigga in the chicken wing, pussy  21, can you do some' for me? (21) Can you hit a lil' rich flex for me? (21) And 21, can you do sum' for me? (21, 21) Drop some bars to my pussy ex to me And 21 (21), can you do some' for me? (Yeah) Can you talk to the opps necks for me? (Okay) 21, do your thing, 21, do your thing (21) Do your thing, 21, do your thing  Yellow diamonds in the watch, this shit cost a lot Never send a bitch your dot, that's how you get shot I DM in Vanish Mode, I do that shit a lot Took her panties off and this bitch thicker than a plot  All my exes ain't nothin', them hoes busted If my opps ain't rappin', they ass duckin' ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
The Weeknd,Die For You,"I'm findin' ways to articulate the feeling I'm goin' through I just can't say I don't love you 'Cause I love you, yeah It's hard for me to communicate the thoughts that I hold But tonight, I'm gon' let you know Let me tell the truth Baby, let me tell the truth, yeah  You know what I'm thinkin', see it in your eyes You hate that you want me, hate it when you cry You're scared to be lonely, especially in the night I'm scared that I'll miss you, happens every time I don't want this feelin', I can't afford love I try to find a reason to pull us apart It ain't workin' 'cause you're perfect And I know that you're worth it I can't walk away, (oh)  Even though we're going through it And it makes you feel alone Just know that I would die for you Baby, I would die for you, yeah ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Lil Uzi Vert, sped up nightcore, ARIZONATEARS",Watch This - ARIZONATEARS Pluggnb Remix,"Jump in a whip that you've never seen (yeah) It got bulletproof glass and a ceiling screen (err) ""Let me guess, it cost you like a hundred thousand?"" No, little bitch, it cost seven beans (vyoom, I'm-) I'm doin' what you do in your dreams I fucked your bitch pussy, Vaseline (yeah) These bitches always wan' caption me Hatin' ass nigga turn me to meme (yeah)  Fucked all y'all bitches like ten of me On the real it was just me and Mean (yeah) We don't know how tall your girlfriend is When we saw her, she was on her knees (yeah) I cannot get tired of money But this money, it will turn people right into greed (one, two, yeah) I know he sick of my money (one, two, three), 'cause every time he call you (let's go) He wish that he called for me (yeah)  Benjamins sittin' in my left, right pocket, watch this These niggas broke boys, watch this, watch this (let's go) These niggas broke boys, watch this, watch this (watch) I can make the whole crowd mosh pit, watch this (woo) I can make your bitch wanna stop and watch this (watch) I can make your bitch wanna stop then pop it (pop) I ain't even drop no songs, still poppin' ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
